画面名 (JP),機能説明,Status,System,システム,Screen ID,Screen (VI),Giải thích tính năng,URL,画面表示情報,Thông tin hiển thị trên màn hình,Business Flow,Sub menu,サブメニュー,API List
メール通知設定,メール通知設定を管理する。,Not started,SAKI Portal,派遣先ポータル,SA-SET-007,Mail Notification Setting,Thiết lập mail notification.,/saki/settings/mail-notifications,通知種別、送信先グループ,"Notification type, receiver group",テナントマスタ管理フロー (https://www.notion.so/362f02c407dd8079998cccb206e8bbdd?pvs=21),,,
取引派遣元詳細,取引を行う派遣元企業の詳細情報を表示する,Not started,SAKI Portal,派遣先ポータル,SCR-AGY-001,Chi tiết công ty phái cử đối tác,,,,,,,,
取引派遣元追加,取引を行う派遣元企業を追加する,Not started,SAKI Portal,派遣先ポータル,SCR-AGY-002,Thêm công ty phái cử đối tác,,,,,,,,
取引派遣元一覧,取引を行う派遣元企業の一覧およびステータスを表示する,Not started,SAKI Portal,派遣先ポータル,SCR-AGY-003,Danh sách công ty phái cử đối tác,,,,,,,,
承認ルート管理,派遣照会や契約を承認するための承認ルートを管理する,Not started,SAKI Portal,派遣先ポータル,SCR-APR-001,Quản lý luồng phê duyệt,,,,,,,,
代理申請（勤怠申請×複数）,特定日（単日）の複数人の勤怠申請を行う,Not started,MOTO Portal,派遣元ポータル,SCR-ATT-021,Đăng ký chấm công thay cho nhiều nhân viên,,,,,,,,
待遇情報提供・事業所抵触日一覧,待遇情報提供・事業所抵触日通知の一覧を表示する,Not started,SAKI Portal,派遣先ポータル,SCR-ATT-022,Phê duyệt chốt công,,,,,,,,
本パスワード設定画面,初回ログイン時に初期パスワードと変更後のパスワードを入力を行う,Not started,MOTO Portal,派遣元ポータル,SCR-AUT-003,Thiết lập mật khẩu lần đầu,,,,,,,,
パスワード再発行手続き画面,パスワードの忘失時に再発行を行うための画面,Not started,SAKI Portal,派遣先ポータル,SCR-AUT-004,Cấp lại mật khẩu,,,,,,,,
パスワード再発行手続き画面,パスワードの忘失時に再発行を行うための画面,Not started,MOTO Portal,派遣元ポータル,SCR-AUT-004,Cấp lại mật khẩu,,,,,,,,
待遇情報提供・事業所抵触日通知内容設定,"待遇情報の提供・事業所抵触日の通知設定を行う。
派遣会社もしくは契約を選択して通知する。",Not started,SAKI Portal,派遣先ポータル,SCR-BNF-001,Thiết lập nội dung cung cấp thông tin chế độ đãi ngộ / thông báo ngày chạm giới hạn sử dụng lao động phái cử,,,,,,,,
提供・通知内容入力,待遇情報の提供・事業所抵触日の通知内容を入力する,Not started,SAKI Portal,派遣先ポータル,SCR-BNF-002,Nhập nội dung cung cấp / thông báo,,,,,,,,
作成中待遇情報提供・事業所抵触日一覧,"作成中の待遇情報提供・事業所抵触日通知の一覧を表示する
修正・削除・非表示・修正済通知の通知が可能",Not started,SAKI Portal,派遣先ポータル,SCR-BNF-003,Danh sách thông báo chế độ đãi ngộ / ngày chạm giới hạn đang soạn thảo,,,,,,,,
作成中待遇情報提供・事業所抵触日修正,作成中の待遇情報提供・事業所抵触日通知を修正する,Not started,SAKI Portal,派遣先ポータル,SCR-BNF-004,Chỉnh sửa thông báo chế độ đãi ngộ / ngày chạm giới hạn đang soạn thảo,,,,,,,,
勤怠締め承認,勤怠締め承認を行う,Not started,SAKI Portal,派遣先ポータル,SCR-BNF-005,Danh sách thông báo chế độ đãi ngộ / ngày chạm giới hạn,,,,,,,,
請求書提出取り消し画面,提出した請求書の取り消しを行う,Not started,MOTO Portal,派遣元ポータル,SCR-INV-014,Hủy nộp hóa đơn,,,,,,,,
未請求契約一覧,請求書が発行できていない契約を表示する,Not started,MOTO Portal,派遣元ポータル,SCR-INV-015,Danh sách hợp đồng chưa xuất hóa đơn,,,,,,,,
請求書修正・調整画面,"請求書の情報を修正・調整する画面
※勤怠データや立替金データとはことなる明細レコードを追加などする可能性がある（トラブル対応や特殊な取り決めへの対応）",Not started,MOTO Portal,派遣元ポータル,SCR-INV-016,Điều chỉnh / chỉnh sửa hóa đơn,,,,,,,,
作成中派遣照会一覧,作成中の派遣照会一覧を表示する,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-001,Danh sách yêu cầu phái cử đang soạn thảo,,,,,,,,
作成中派遣照会詳細,作成中の依頼内容を表示する,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-002,Chi tiết yêu cầu phái cử đang soạn thảo,,,,,,,,
作成中派遣照会削除,作成中の依頼の削除確認をする。,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-003,Xác nhận xóa yêu cầu phái cử đang soạn thảo,,,,,,,,
派遣照会検索,入力した条件で派遣照会を検索する。,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-004,Tìm kiếm yêu cầu phái cử,,,,,,,,
派遣照会検索結果,"検索した派遣照会一覧を表示する。
（依頼の複製が可能）",Not started,SAKI Portal,派遣先ポータル,SCR-SHO-005,Kết quả tìm kiếm yêu cầu phái cử,,,,,,,,
非表示案件復帰,処理済み（画面非表示）の依頼を見積依頼・派遣照会状況画面に再表示する,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-006,Khôi phục yêu cầu đã ẩn,,,,,,,,
派遣照会作成 - 起票者プロファイル確認,新規派遣照会作成時の起票者プロファイルを確認する。電話番号の変更が可能。,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-007,Tạo yêu cầu phái cử - Xác nhận thông tin người tạo,,,,,,,,
派遣照会作成 - 依頼条件入力,新規派遣照会作成時の依頼条件を入力する。,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-008,Tạo yêu cầu phái cử - Nhập điều kiện yêu cầu,,,,,,,,
派遣照会作成 - 派遣会社指定,新規派遣照会作成時の派遣会社を入力する。,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-009,Tạo yêu cầu phái cử - Chỉ định công ty phái cử,,,,,,,,
派遣照会作成 - 承認者選択,新規派遣照会作成時の承認者を入力する。,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-010,Tạo yêu cầu phái cử - Chọn người phê duyệt,,,,,,,,
派遣照会作成 - 依頼内容確認,新規派遣照会作成時の入力内容を確認する。,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-011,Tạo yêu cầu phái cử - Xác nhận nội dung yêu cầu,,,,,,,,
派遣照会作成 - 派遣照会完了,新規派遣照会作成時の完了を表示する。,Not started,SAKI Portal,派遣先ポータル,SCR-SHO-012,Tạo yêu cầu phái cử - Hoàn tất,,,,,,,,
スタッフ詳細画面,"スタッフの詳細情報を表示する
",Not started,MOTO Portal,派遣元ポータル,SCR-STF-008,Chi tiết nhân viên,,,,,,,,
勤怠一覧,スタッフ勤怠一覧を表示する。,Not started,Staff Mobile APP,スタッフアプリ,ST-ATT-001,Attendance List,Danh sách attendance của staff.,/staff/attendance,勤務日、勤怠状態、承認状態,"Work date, attendance status, approval status",,,,ST-ATT-001-API-01-Attendance List (https://www.notion.so/ST-ATT-001-API-01-Attendance-List-36bf02c407dd8000bcd7e246e2d4feba?pvs=21)
勤怠詳細,勤怠詳細を表示する。,Not started,Staff Mobile APP,スタッフアプリ,ST-ATT-002,Attendance Detail,Xem chi tiết attendance.,/staff/attendance/:id,出退勤時間、休憩時間、残業時間,"Check-in/out, break time, overtime",,,,ST-ATT-002-API-01-Attendance Detail (https://www.notion.so/ST-ATT-002-API-01-Attendance-Detail-36bf02c407dd8080ba20eaed257cccaa?pvs=21)
勤怠入力,日次勤怠を入力する。,Not started,Staff Mobile APP,スタッフアプリ,ST-ATT-003,Attendance Input,Nhập attendance hàng ngày.,/staff/attendance/input,開始時間、終了時間、休憩時間、備考,"Start/end time, break time, remarks",,,,ST-ATT-003-API-01-Create Attendance (https://www.notion.so/ST-ATT-003-API-01-Create-Attendance-36bf02c407dd80d6ac1bf985ad854c09?pvs=21)
勤怠修正,承認前勤怠を修正する。,Not started,Staff Mobile APP,スタッフアプリ,ST-ATT-004,Attendance Edit,Chỉnh sửa attendance trước approval.,/staff/attendance/:id/edit,修正済勤怠項目,Modified attendance fields,,,,ST-ATT-004-API-01-Update Attendance (https://www.notion.so/ST-ATT-004-API-01-Update-Attendance-36bf02c407dd80a4a11bd68cf1b21cc0?pvs=21)
勤怠提出,勤怠を提出する。,Not started,Staff Mobile APP,スタッフアプリ,ST-ATT-005,Attendance Submit,Submit attendance for approval.,/staff/attendance/submit,提出対象期間、提出状態,"Submit target period, submit status",,,,ST-ATT-005-API-01-Submit Attendance (https://www.notion.so/ST-ATT-005-API-01-Submit-Attendance-36bf02c407dd807eb798fcefd96c5729?pvs=21)
勤怠承認状況,勤怠承認状況を確認する。,Not started,Staff Mobile APP,スタッフアプリ,ST-ATT-006,Attendance Approval Status,Kiểm tra trạng thái approve attendance.,/staff/attendance/approval-status,承認状態、承認者、却下理由,"Approval status, approver, rejected reason",,,,ST-ATT-006-API-01-Attendance Approval Status (https://www.notion.so/ST-ATT-006-API-01-Attendance-Approval-Status-36bf02c407dd80e0826bd833f9f5364e?pvs=21)
シフト予定,シフト予定を表示する。,Not started,Staff Mobile APP,スタッフアプリ,ST-ATT-007,Shift Schedule,Xem lịch làm việc/shift.,/staff/shifts,シフト日、就業場所、勤務時間,"Shift date, workplace, shift time",,,,ST-ATT-007-API-01-Shift Schedule (https://www.notion.so/ST-ATT-007-API-01-Shift-Schedule-36bf02c407dd80a78431c768b42e8ffd?pvs=21)
勤務カレンダー,勤務カレンダーを表示する。,Not started,Staff Mobile APP,スタッフアプリ,ST-ATT-008,Work Schedule Calendar,Calendar attendance/work schedule.,/staff/calendar,月間シフト、休日、勤怠状態,"Monthly shifts, holidays, attendance status",,,,ST-ATT-008-API-01-Work Schedule Calendar (https://www.notion.so/ST-ATT-008-API-01-Work-Schedule-Calendar-36bf02c407dd807385effdc48f67fe60?pvs=21)
残業アラート,残業・36協定アラートを通知する。,Not started,Staff Mobile APP,スタッフアプリ,ST-ATT-009,Overtime Alert,Alert overtime/36 agreement limit.,/staff/overtime-alerts,残業時間、警告レベル,"Overtime hours, warning level",,,,ST-ATT-009-API-01-Overtime Alert List (https://www.notion.so/ST-ATT-009-API-01-Overtime-Alert-List-36bf02c407dd80c6981ccb6c549b6705?pvs=21)
ログイン,スタッフアプリへログインする。,Not started,Staff Mobile APP,スタッフアプリ,ST-AUTH-001,Login,Đăng nhập staff app bằng ID/password hoặc OTP.,/staff/login,ログインID、パスワード、OTP状態、エラーメッセージ,"Login ID, password, OTP status, error message",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,ST-AUTH-001-API-01-Staff login (https://www.notion.so/ST-AUTH-001-API-01-Staff-login-368f02c407dd80419581e4ee9a8aa883?pvs=21)
ログアウト,アプリからログアウトする。,Not started,Staff Mobile APP,スタッフアプリ,ST-AUTH-002,Logout,Logout khỏi app.,/staff/logout,ログインユーザー、ログアウト日時,"Login user, logout datetime",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,ST-AUTH-002-API-01-Staff logout (https://www.notion.so/ST-AUTH-002-API-01-Staff-logout-368f02c407dd8028b646c649b36a1a83?pvs=21)
パスワード初期化,パスワードを初期化・変更する。,Not started,Staff Mobile APP,スタッフアプリ,ST-AUTH-003,Password Reset,Reset/change password.,/staff/password-reset,登録メール、電話番号、初期化結果,"Registered email/phone, reset result",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,"ST-AUTH-003-API-01-Request Password Reset (https://www.notion.so/ST-AUTH-003-API-01-Request-Password-Reset-368f02c407dd80809457d9ec9f46d77c?pvs=21), ST-AUTH-003-API-02-Confirm Password Reset (https://www.notion.so/ST-AUTH-003-API-02-Confirm-Password-Reset-36bf02c407dd800bbfc6d40c3b13fa07?pvs=21)"
アカウントロック通知,アカウントロック状態を通知する。,Not started,Staff Mobile APP,スタッフアプリ,ST-AUTH-004,Account Lock Notice,Thông báo account bị lock.,/staff/account-locked,ロック理由、解除案内,"Lock reason, unlock instruction",ログインフロー (https://www.notion.so/362f02c407dd80fcb574ca2b01dc0c48?pvs=21),,,ST-AUTH-004-API-01-Get Account Lock Notice (https://www.notion.so/ST-AUTH-004-API-01-Get-Account-Lock-Notice-36bf02c407dd8076b2a8cb6154892dbd?pvs=21)
契約一覧,,Not started,Staff Mobile APP,,ST-CON-001,Staff contract,,,,,,,,
契約詳細,,Not started,Staff Mobile APP,,ST-CON-002,Staff contract detail,,,,,,,,
契約書DL,,Not started,Staff Mobile APP,,ST-CON-003,Staff downloads contract,,,,,,,,
契約履歴,,Not started,Staff Mobile APP,,ST-CON-004,Staff contract histories,,,,,,,,
ホーム,スタッフ向けホーム画面を表示する。,Not started,Staff Mobile APP,スタッフアプリ,ST-HOME-001,Staff Dashboard,Dashboard chính của staff app.,/staff/home,現在契約、本日シフト、未申請勤怠、通知,"Current contract, today shift, pending attendance, notifications",,,,
お知らせ一覧,スタッフ向け通知一覧を表示する。,Not started,Staff Mobile APP,スタッフアプリ,ST-HOME-002,Notification Center,Danh sách thông báo tới staff.,/staff/notifications,通知タイトル、未読状態、送信日時,"Notification title, unread status, sent datetime",,,,"ST-HOME-002-API-01-Notification List (https://www.notion.so/ST-HOME-002-API-01-Notification-List-36bf02c407dd80eb8d40c1618686384e?pvs=21), ST-HOME-002-API-02-Mark Notification Read (https://www.notion.so/ST-HOME-002-API-02-Mark-Notification-Read-36bf02c407dd8088a8c1e978e26ce340?pvs=21)"
お知らせ詳細,お知らせ詳細を表示する。,Not started,Staff Mobile APP,スタッフアプリ,ST-HOME-003,Notification Detail,Chi tiết announcement/notice.,/staff/announcements/:id,お知らせ内容、添付ファイル、公開日,"Notice content, attachment, publish date",,,,ST-HOME-003-API-01-Notification Detail (https://www.notion.so/ST-HOME-003-API-01-Notification-Detail-36bf02c407dd803fb0d2f5074f6b1ab2?pvs=21)
給与明細一覧,,Not started,Staff Mobile APP,,ST-PAY-001,Staff payslips,Danh sách phiếu lương,/staff/payslips,,,,,,
給与明細詳細,,Not started,Staff Mobile APP,,ST-PAY-002,Staff payslip detail,Chi tiết phiếu lương,/staff/payslips/{id},,,,,,
給与明細PDF,,Not started,Staff Mobile APP,,ST-PAY-003,Stafff payslip detail PDF view,Chi tiết phiếu lương view pdf,/staff/payslips/{id}/pdf,,,,,,
プロフィール,,Not started,Staff Mobile APP,,ST-PRO-001,Staff profile,Trang thông tin staff,/staff/profile,,Staff info,,,,ST-PRO-001-API-01-Staff Profile Detail (https://www.notion.so/ST-PRO-001-API-01-Staff-Profile-Detail-36bf02c407dd8003a942f7b41ffa7c37?pvs=21)
プロフィール編集,,Not started,Staff Mobile APP,,ST-PRO-002,Change staff info,Staff tự chỉnh sửa thông tin,/staff/profile/edit,,Change staff info,,,,
口座情報設定,,Not started,Staff Mobile APP,,ST-PRO-003,Staff bank account,Thông tin tài khoản staff,/staff/profile/bank-account,,Staff bank account,,,,
緊急連絡先設定,,Not started,Staff Mobile APP,,ST-PRO-004,Staff emergency contacts,Liên hệ khẩn cấp của staff,staff/profile/emergency-contact,,Staff emergency contacts,,,,
通知設定,通知設定を管理する。,Not started,Staff Mobile APP,スタッフアプリ,ST-SET-001,Notification Setting,Thiết lập push/email notifications.,/staff/settings/notifications,Push通知状態、メール通知状態,"Push status, mail notification status",,,,"ST-SET-001-API-01-Get Notification Setting (https://www.notion.so/ST-SET-001-API-01-Get-Notification-Setting-36bf02c407dd8032a144d34e791b7203?pvs=21), ST-SET-001-API-02-Update Notification Setting (https://www.notion.so/ST-SET-001-API-02-Update-Notification-Setting-36bf02c407dd80bba703eb7ae0ff0b33?pvs=21)"
言語設定,アプリ言語を変更する。,Not started,Staff Mobile APP,スタッフアプリ,ST-SET-002,Language Setting,Đổi language app.,/staff/settings/language,現在言語、利用可能言語,"Current language, available languages",,,,"ST-SET-002-API-01-Get Language Setting (https://www.notion.so/ST-SET-002-API-01-Get-Language-Setting-36bf02c407dd8043925ff6ae09514aa2?pvs=21), ST-SET-002-API-02-Update Language Setting (https://www.notion.so/ST-SET-002-API-02-Update-Language-Setting-36bf02c407dd8033bfd2d8dc0d18816c?pvs=21)"
バージョン情報,アプリバージョン情報を表示する。,Not started,Staff Mobile APP,スタッフアプリ,ST-SET-003,App Version Information,Xem app version info.,/staff/settings/version,アプリバージョン、リリース日,"App version, release date",,,,ST-SET-003-API-01-App Version Information (https://www.notion.so/ST-SET-003-API-01-App-Version-Information-36bf02c407dd8099bd12eadb7f814867?pvs=21)
利用規約・プライバシー,利用規約・プライバシーポリシーを表示する。,Not started,Staff Mobile APP,スタッフアプリ,ST-SET-004,Terms & Privacy,Xem terms/privacy policy.,/staff/settings/policy,規約内容、更新日,"Terms content, policy update date",,,,ST-SET-004-API-01-Terms And Privacy (https://www.notion.so/ST-SET-004-API-01-Terms-And-Privacy-36bf02c407dd80388497d1112c5e7e4f?pvs=21)
,,Not started,,,,,,,,,,,,
diagram 4 - screen design,,Not started,,,,,,,,,,,,
派遣先取引先管理,派遣先の取引先を管理する,Not started,Platform SaaS Admin,プラットフォーム管理,,,,,,,,,,
,,Not started,Platform SaaS Admin,スタッフアプリ,,,,,,,,,,
操作ログ,プラットフォーム管理画面内の操作ログを表示、ダウンロードできる,Not started,Platform SaaS Admin,プラットフォーム管理,,,,,,,,,,
Sample Màn hình tạo/edit: Screen Specification,,Not started,,,,,,,,,,,,
